Date,ARGENTINA
1999-05-10,140.2152756834391
1999-05-11,137.8516821052402
1999-05-12,134.0321112163624
1999-05-13,135.17408217425117
1999-05-14,134.96816412273512
1999-05-17,133.72786068301468
1999-05-18,135.08064274465843
1999-05-19,130.97511449338853
1999-05-20,130.9192012513093
1999-05-21,127.42244562255334
1999-05-24,126.22389918980865
1999-05-25,126.22389918980865
1999-05-26,129.49850095950598
1999-05-27,127.54501925631683
1999-05-28,129.85119846417592
1999-05-31,131.07167227213867
1999-06-01,130.8130683538287
1999-06-02,131.17762345940616
1999-06-03,131.39521639211537
1999-06-04,132.16244032047283
1999-06-07,131.53294364815216
1999-06-08,132.89765700428987
1999-06-09,131.86388741180772
1999-06-10,131.2181973309942
1999-06-11,129.90965463973768
1999-06-14,129.90965463973768
1999-06-15,128.99286099695368
1999-06-16,130.78600160808278
1999-06-17,132.44103539072995
1999-06-18,132.44092131709616
1999-06-21,132.44092131709616
1999-06-22,134.2690663817811
1999-06-23,136.35653412961906
1999-06-24,135.26145046372324
1999-06-25,134.0128842568116
1999-06-28,134.38317938612136
1999-06-29,132.1393691804133
1999-06-30,125.41155560603146
1999-07-01,129.66176455749368
1999-07-02,131.26394691515276
1999-07-05,131.97100053493799
1999-07-06,132.47437214832976
1999-07-07,130.2587108736369
1999-07-08,123.0236704008415
1999-07-09,123.0236704008415
1999-07-12,112.88590820451745
1999-07-13,118.32892558399442
1999-07-14,118.34624761481099
1999-07-15,118.43444167625157
1999-07-16,124.28405180961087
1999-07-19,124.01474415024676
1999-07-20,119.96379155198723
1999-07-21,121.32431850671479
1999-07-22,119.08717302782361
1999-07-23,117.96370117913197
1999-07-26,114.98762304256546
1999-07-27,115.43796353975839
1999-07-28,117.21775551673124
1999-07-29,118.37573413489498
1999-07-30,118.92552967923622
1999-08-02,116.39073075723488
1999-08-03,116.2768852707084
1999-08-04,115.4812075419782
1999-08-05,116.48854536495917
1999-08-06,116.10439382239755
1999-08-09,116.83332535184284
1999-08-10,115.31331336205936
1999-08-11,117.296059495072
1999-08-12,116.61166412936204
1999-08-13,118.30701537029648
1999-08-16,118.30701537029648
1999-08-17,119.01732866940493
1999-08-18,116.93173859376925
1999-08-19,117.46460581275569
1999-08-20,116.72027838075293
1999-08-23,118.98874464337946
1999-08-24,120.69589897215745
1999-08-25,125.61324485708766
1999-08-26,125.01218179511606
1999-08-27,124.77911724726056
1999-08-30,123.40739795290581
1999-08-31,124.08320852054688
1999-09-01,125.91155649496982
1999-09-02,125.6572066146493
1999-09-03,126.28437941524436
1999-09-06,126.32453434384107
1999-09-07,125.06636071416114
1999-09-08,124.9073996102197
1999-09-09,127.12717056423271
1999-09-10,128.3653177094241
1999-09-13,129.20446859714286
1999-09-14,129.0054615907326
1999-09-15,128.29095583320694
1999-09-16,126.14303107846048
