Date,USA
2020-09-18,9174.334394303822
2020-09-21,9082.137165726748
2020-09-22,9173.421984771074
2020-09-23,8950.319632063038
2020-09-24,8974.355151637066
2020-09-25,9127.446389571112
2020-09-28,9275.777292633598
2020-09-29,9234.215381946022
2020-09-30,9309.462867073336
2020-10-01,9372.64056489223
2020-10-02,9278.59911711459
2020-10-05,9448.13313692865
2020-10-06,9319.862124215299
2020-10-07,9482.692619713827
2020-10-08,9558.004697021523
2020-10-09,9644.128898473842
2020-10-12,9800.219767680772
2020-10-13,9748.499083811903
2020-10-14,9686.688103748855
2020-10-15,9672.142889115914
2020-10-16,9669.923489856143
2020-10-19,9516.107765223993
2020-10-20,9554.825559372895
2020-10-21,9530.819216060989
2020-10-22,9579.258953533821
2020-10-23,9612.522991480157
2020-10-26,9436.491266840296
2020-10-27,9412.013444694412
2020-10-28,9085.359204968643
2020-10-29,9191.354236309639
2020-10-30,9064.404301053028
2020-11-02,9173.520336767659
2020-11-03,9341.681899218584
2020-11-04,9558.087511565283
2020-11-05,9751.800362068321
2020-11-06,9755.359181445046
2020-11-09,9835.401880261486
2020-11-10,9812.868486973823
2020-11-11,9898.380060287242
2020-11-12,9807.480228812406
2020-11-13,9933.5729328825
2020-11-16,10045.667097819834
2020-11-17,10012.943385258715
2020-11-18,9912.529602030403
2020-11-19,9961.978794365641
2020-11-20,9900.707379451425
2020-11-23,9963.693822198953
2020-11-24,10118.472957742866
2020-11-25,10115.704614307033
2020-11-26,10115.704614307033
2020-11-27,10149.64259635446
2020-11-30,10108.215980436136
2020-12-01,10212.892077765922
2020-12-02,10224.46139238585
2020-12-03,10230.248319033595
2020-12-04,10322.04162077855
2020-12-07,10315.613125830982
2020-12-08,10351.421295677941
2020-12-09,10248.277392851845
2020-12-10,10254.244135513574
2020-12-11,10240.994423401027
2020-12-14,10210.810435899284
2020-12-15,10341.09466333707
2020-12-16,10359.702168800073
2020-12-17,10434.376866820283
2020-12-18,10411.596887383263
2020-12-21,10375.621213148439
2020-12-22,10369.256253267959
2020-12-23,10367.436057401046
2020-12-24,10401.214810935066
2020-12-25,10401.214810935066
2020-12-28,10471.112807836214
2020-12-29,10444.615038162148
2020-12-30,10462.24107294789
2020-12-31,10520.810120787766
2021-01-01,10520.810120787766
2021-01-04,10366.890795211893
2021-01-05,10443.577172980931
2021-01-06,10494.513373611391
2021-01-07,10663.83826003079
2021-01-08,10724.962787547916
2021-01-11,10657.144072030944
2021-01-12,10669.337036573253
2021-01-13,10690.592812564822
2021-01-14,10650.555072653522
2021-01-15,10574.004459770631
2021-01-18,10574.004459770631
2021-01-19,10661.020626638285
2021-01-20,10810.695925186981
2021-01-21,10813.373875743988
2021-01-22,10783.775612830146
2021-01-25,10819.56026832279
2021-01-26,10788.884384620927
2021-01-27,10504.14042481426
2021-01-28,10619.37694804263
2021-01-29,10420.143520961261
2021-02-01,10592.848541277674
2021-02-02,10749.975545378373
2021-02-03,10755.37373251939
2021-02-04,10877.073087396975
2021-02-05,10928.553320348277
2021-02-08,11009.144459758547
2021-02-09,11003.24760316249
2021-02-10,11003.022521351873
2021-02-11,11029.591610400434
2021-02-12,11083.642626031082
2021-02-15,11083.642626031082
2021-02-16,11071.069432736882
2021-02-17,11058.490769756861
2021-02-18,11010.210882626126
2021-02-19,10999.829024719917
2021-02-22,10888.455016121934
2021-02-23,10895.007243896356
2021-02-24,11005.158208734194
2021-02-25,10725.572487719348
2021-02-26,10687.874008233632
2021-03-01,10949.282141437354
2021-03-02,10850.937610164947
2021-03-03,10683.240695254977
2021-03-04,10525.99388062765
2021-03-05,10721.393329540879
2021-03-08,10643.6589888901
2021-03-09,10821.077557801053
