Date,SAUDIARABIA
2015-03-03,938.4050248452658
2015-03-04,937.5275984036791
2015-03-05,943.8079561493767
2015-03-06,943.8079561493767
2015-03-09,953.2559280805373
2015-03-10,952.5839012413862
2015-03-11,953.9318289896289
2015-03-12,957.6520212585158
2015-03-13,957.6264879566103
2015-03-16,923.3299022195159
2015-03-17,907.4194257414368
2015-03-18,888.4949439265841
2015-03-19,894.261343433613
2015-03-20,894.2375005972129
2015-03-23,907.9249545372348
2015-03-24,910.5364042540108
2015-03-25,875.557726420533
2015-03-26,877.1974912251718
2015-03-27,877.2910402477648
2015-03-30,878.6830232525779
2015-03-31,857.6071574180014
2015-04-01,862.8972508241721
2015-04-02,857.6751511866263
2015-04-03,857.6751511866263
2015-04-06,849.4632473727739
2015-04-07,864.1255568806009
2015-04-08,874.9054581460663
2015-04-09,886.101306654507
2015-04-10,886.101306654507
2015-04-13,903.202146697797
2015-04-14,899.010979390491
2015-04-15,914.1301789666803
2015-04-16,925.5204174785574
2015-04-17,925.5327565991392
2015-04-20,976.1079847616279
2015-04-21,971.5617495533975
2015-04-22,970.7525655642592
2015-04-23,975.4513988889169
2015-04-24,975.4513988889169
2015-04-27,992.2226614026117
2015-04-28,992.8459155811812
2015-04-29,1013.5510787991203
2015-04-30,1019.7646849400614
2015-05-01,1019.7646849400614
2015-05-04,1015.0689164666973
2015-05-05,1009.8889863946697
2015-05-06,1012.4007573818752
2015-05-07,1005.0249063531763
2015-05-08,1005.0517063026806
2015-05-11,986.3293644812536
2015-05-12,991.9781672346245
2015-05-13,1000.8815272849816
2015-05-14,1014.4289326357776
2015-05-15,1014.4018826402406
2015-05-18,1019.7626717530569
2015-05-19,1017.7281109803906
2015-05-20,1004.990041759349
2015-05-21,1006.6426948103101
2015-05-22,1006.5890129259877
2015-05-25,1002.1551131249096
2015-05-26,1009.7150485404276
2015-05-27,1003.9586480928582
2015-05-28,1000.0933333333335
2015-05-29,1000.0
2015-06-01,995.8516763005374
2015-06-02,997.4733972808947
2015-06-03,993.3124976682439
2015-06-04,991.0852964390099
2015-06-05,991.0852964390099
2015-06-08,976.9542698303679
2015-06-09,976.3579619485671
2015-06-10,982.5064270429287
2015-06-11,978.2825314095389
2015-06-12,978.2825314095389
2015-06-15,985.1971290619766
2015-06-16,981.8012316759485
2015-06-17,981.8140086552191
2015-06-18,977.3174373849423
