Date,JAPAN
2013-04-25,4608.812396853912
2013-04-26,4652.623102924029
2013-04-29,4630.343603602844
2013-04-30,4677.761882359751
2013-05-01,4648.107538682077
2013-05-02,4593.3387269189825
2013-05-03,4550.627269179287
2013-05-06,4533.6729635746515
2013-05-07,4680.110058796167
2013-05-08,4722.11402254779
2013-05-09,4646.206220784829
2013-05-10,4651.057664297503
2013-05-13,4741.19825659588
2013-05-14,4717.627399999902
2013-05-15,4806.880405473953
2013-05-16,4804.231862699703
2013-05-17,4781.265509006089
2013-05-20,4873.972491554142
2013-05-21,4875.62844471873
2013-05-22,4852.632517030409
2013-05-23,4616.390942415988
2013-05-24,4639.038749669772
2013-05-27,4488.393053696695
2013-05-28,4492.866363890671
2013-05-29,4590.530422161916
2013-05-30,4419.004884457495
2013-05-31,4412.797885925102
2013-06-03,4323.5648965554765
2013-06-04,4417.2635896104275
2013-06-05,4307.003044034132
2013-06-06,4279.444430806539
2013-06-07,4272.232602922803
2013-06-10,4411.386031108186
2013-06-11,4475.3012813316045
2013-06-12,4507.120645318071
2013-06-13,4352.095283649972
2013-06-14,4391.6854456012925
2013-06-17,4493.162197679621
2013-06-18,4465.214084093632
2013-06-19,4576.148404805286
2013-06-20,4368.310531613574
2013-06-21,4429.717509814741
2013-06-24,4378.745764915994
2013-06-25,4327.694000918078
2013-06-26,4315.3669004670555
2013-06-27,4387.478178108385
2013-06-28,4489.939635501715
2013-07-01,4537.032202123633
2013-07-02,4591.358421771788
2013-07-03,4631.163266246646
2013-07-04,4599.239822461046
2013-07-05,4630.138395021731
2013-07-08,4558.467785795715
2013-07-09,4654.970732290578
2013-07-10,4692.454899252945
2013-07-11,4755.2494283840215
2013-07-12,4751.758921996976
2013-07-15,4730.349244751433
2013-07-16,4794.696821795848
2013-07-17,4781.909798115322
2013-07-18,4776.6061027151145
2013-07-19,4751.073250340004
2013-07-22,4811.576532308553
2013-07-23,4821.590887077283
2013-07-24,4789.573748758955
2013-07-25,4745.018865845319
2013-07-26,4671.953839680205
2013-07-29,4525.962939219026
2013-07-30,4597.305005832774
2013-07-31,4517.011896228947
2013-08-01,4608.137032363121
