Date,CZECHREPUBLIC
2020-07-29,610.4769099845162
2020-07-30,596.7837230906925
2020-07-31,595.2045097107207
2020-08-03,600.464277613321
2020-08-04,606.455206050325
2020-08-05,626.7907901511303
2020-08-06,624.8758336445103
2020-08-07,621.6162737726523
2020-08-10,628.3052329293218
2020-08-11,636.1568222769159
2020-08-12,643.8524416714195
2020-08-13,634.3036814163545
2020-08-14,638.2765986078426
2020-08-17,641.2232705782445
2020-08-18,638.1188813102875
2020-08-19,629.4944952815648
2020-08-20,620.5476447622012
2020-08-21,620.5137720840777
2020-08-24,621.8578005867739
2020-08-25,622.7522358829855
2020-08-26,621.7105746970431
2020-08-27,615.0556316480978
2020-08-28,626.1532084979415
2020-08-31,622.3222028608382
2020-09-01,622.8539262793023
2020-09-02,609.6273097912417
2020-09-03,607.4540399284721
2020-09-04,602.0703411893622
2020-09-07,605.6774817512978
2020-09-08,600.9416252891698
2020-09-09,597.5257087194238
2020-09-10,601.853234824906
2020-09-11,598.9587938545535
2020-09-14,598.0238726185033
2020-09-15,593.1377357093143
2020-09-16,592.5697157901196
2020-09-17,584.4454219259378
2020-09-18,582.2762559822133
2020-09-21,561.4506757926907
2020-09-22,567.3367524377154
2020-09-23,560.0764657616173
2020-09-24,551.8315364618352
2020-09-25,550.8654175412407
2020-09-28,551.3459246725628
2020-09-29,558.5973493655091
2020-09-30,561.9215865882671
2020-10-01,567.8449092223849
2020-10-02,560.118966924017
2020-10-05,566.723007985037
2020-10-06,577.5223964964312
2020-10-07,575.656309259609
2020-10-08,572.1730871783451
2020-10-09,574.563367459691
2020-10-12,567.117264148186
2020-10-13,558.5361013291756
2020-10-14,562.4915297952186
2020-10-15,550.5401605420492
2020-10-16,560.8239252793795
2020-10-19,563.6518427621507
2020-10-20,572.54598221568
2020-10-21,569.0420878079022
2020-10-22,562.3099716241456
2020-10-23,564.9651795183826
2020-10-26,566.543809757771
2020-10-27,574.1153476988193
2020-10-28,568.360222240951
2020-10-29,553.6702347499127
2020-10-30,553.3710926632532
2020-11-02,564.4284550215878
2020-11-03,581.4440429978014
2020-11-04,584.7761708480019
2020-11-05,603.9661883412072
2020-11-06,605.4285156101507
2020-11-09,633.1307723090848
2020-11-10,637.7075497244895
2020-11-11,639.3122067931629
2020-11-12,641.8777880753141
2020-11-13,639.2947211411215
2020-11-16,658.8920309526821
2020-11-17,658.8684275994555
2020-11-18,667.9970860500514
2020-11-19,656.9419136940423
2020-11-20,663.5423650637033
2020-11-23,671.9596436798146
2020-11-24,678.0242792060009
2020-11-25,680.307072510625
2020-11-26,679.4355291972403
2020-11-27,683.2452068369199
2020-11-30,673.4848200161164
2020-12-01,680.392504960274
2020-12-02,679.3527199684247
2020-12-03,682.4719760337202
2020-12-04,685.9244660170791
2020-12-07,688.9007521510697
2020-12-08,696.663566570399
2020-12-09,703.4375385342104
2020-12-10,699.7635223691233
2020-12-11,689.3799336612095
2020-12-14,696.1099975764326
2020-12-15,697.2294473389138
2020-12-16,717.5849765886185
2020-12-17,737.1785416076146
2020-12-18,739.8307601402765
2020-12-21,716.1699981046083
2020-12-22,722.9296149329081
2020-12-23,732.0239842105746
2020-12-24,733.9626250645448
2020-12-25,733.9626250645441
2020-12-28,749.6751864293351
2020-12-29,757.6200760458177
2020-12-30,757.5491120470294
2020-12-31,753.6473216172678
2021-01-01,753.6473216172677
2021-01-04,760.6486375690578
2021-01-05,764.4003257164893
2021-01-06,767.9150345172638
2021-01-07,779.1021796168401
