Date,SINGAPORE
1999-06-10,3854.1143735050373
1999-06-11,3992.2754738191306
1999-06-14,3966.8189845664842
1999-06-15,3972.640301217977
1999-06-16,3998.4138541647685
1999-06-17,4039.019369741228
1999-06-18,4015.769367341019
1999-06-21,4093.679700250165
1999-06-22,4115.3607727415
1999-06-23,4163.997756995467
1999-06-24,4183.483442874338
1999-06-25,4159.585909022476
1999-06-28,4125.157703170995
1999-06-29,4197.723532331087
1999-06-30,4196.462450822794
1999-07-01,4293.668273282024
1999-07-02,4285.134544925534
1999-07-05,4286.90081825167
1999-07-06,4233.57450620519
1999-07-07,4164.012443869583
1999-07-08,4183.504648521457
1999-07-09,4212.533791897223
1999-07-12,4259.838066679295
1999-07-13,4222.641921743139
1999-07-14,4222.02276920689
1999-07-15,4184.190769014904
1999-07-16,4115.406220893844
1999-07-19,4150.627648846628
1999-07-20,4178.093019736338
1999-07-21,4103.6599155382755
1999-07-22,4050.224093341304
1999-07-23,3901.2690830253932
1999-07-26,3861.004978367548
1999-07-27,3945.010835271303
1999-07-28,4132.320551890776
1999-07-29,4232.672480808299
1999-07-30,4250.790219189324
1999-08-02,4203.876887528765
1999-08-03,4225.268594566266
1999-08-04,4250.859648048779
1999-08-05,4152.067512286001
1999-08-06,4136.346352366958
1999-08-09,4134.3621321121
1999-08-10,4045.5507090538463
1999-08-11,3953.9596707150977
1999-08-12,4016.1494196610493
1999-08-13,3920.4322859891895
1999-08-16,3977.685360285863
1999-08-17,3929.465053907877
1999-08-18,4080.838241030057
1999-08-19,4112.293519874715
1999-08-20,4145.100802712163
1999-08-23,4241.929897687391
1999-08-24,4204.079807245825
1999-08-25,4236.762369462441
1999-08-26,4312.0373640309335
1999-08-27,4291.937866297311
1999-08-30,4293.189470713927
1999-08-31,4242.044067844287
1999-09-01,4274.724116799022
1999-09-02,4272.062546287489
1999-09-03,4212.7764787475835
1999-09-06,4237.361232644965
1999-09-07,4254.991084063387
1999-09-08,4234.441633913673
