Date,NORWAY
1999-05-07,2177.675865560458
1999-05-10,2206.8811915578153
1999-05-11,2189.356428072174
1999-05-12,2117.629695505001
1999-05-13,2109.059631096503
1999-05-14,2100.415944157334
1999-05-17,2097.477249898229
1999-05-18,2083.775207155353
1999-05-19,2069.13682718334
1999-05-20,2081.5197816458103
1999-05-21,2091.485319504206
1999-05-24,2087.8677516027547
1999-05-25,2063.613433157755
1999-05-26,2052.1085852386136
1999-05-27,2036.7078963440028
1999-05-28,2022.649293801025
1999-05-31,2032.4477099499338
1999-06-01,2064.223007619794
1999-06-02,2046.105855438289
1999-06-03,2031.9337156154334
1999-06-04,2020.6114171290671
1999-06-07,2022.2651793695602
1999-06-08,2057.4361009960703
1999-06-09,2058.5740211631105
1999-06-10,2081.9959959974667
1999-06-11,2078.3258303231287
1999-06-14,2061.222835677304
1999-06-15,2052.737247023419
1999-06-16,2033.8163104585678
1999-06-17,2027.8253129036277
1999-06-18,2043.0818602207673
1999-06-21,2044.8859351280473
1999-06-22,2034.8583993490865
1999-06-23,2005.623545406923
1999-06-24,2001.8199658045633
1999-06-25,1980.1188996854326
1999-06-28,1988.6870984157656
1999-06-29,2001.6746043605992
1999-06-30,1994.4742706311622
1999-07-01,2026.3351024692092
1999-07-02,2026.3559119564359
1999-07-05,2058.274238972553
1999-07-06,2048.2856671645036
1999-07-07,2036.5078741176424
1999-07-08,2033.2632086394517
1999-07-09,2043.6722935424
1999-07-12,2044.267767782921
1999-07-13,2021.7821301777028
1999-07-14,2075.663041161909
1999-07-15,2117.6987255971117
1999-07-16,2118.3324821184447
1999-07-19,2115.2713168513255
1999-07-20,2099.402217162768
1999-07-21,2077.9616642966603
1999-07-22,2074.4096283407603
1999-07-23,2064.3028371182068
1999-07-26,2063.7137133591323
1999-07-27,2062.6656327714295
1999-07-28,2066.408039657028
1999-07-29,2056.800389100506
1999-07-30,2077.5181351913207
1999-08-02,2061.4533186875533
1999-08-03,2057.770703199306
1999-08-04,2089.740121094407
1999-08-05,2097.2974092866357
1999-08-06,2108.110933749521
1999-08-09,2109.5292617569417
1999-08-10,2116.19489929993
1999-08-11,2133.815045581765
1999-08-12,2149.3924895433115
1999-08-13,2139.3234065467495
1999-08-16,2163.753780429373
1999-08-17,2166.4633012407867
1999-08-18,2175.3451312342104
1999-08-19,2177.824868664687
1999-08-20,2213.746133758639
1999-08-23,2237.1495773858355
1999-08-24,2210.594590735788
1999-08-25,2171.2353830814204
1999-08-26,2154.793161411898
1999-08-27,2163.1268946266673
1999-08-30,2171.4894920353577
1999-08-31,2157.991095239894
1999-09-01,2214.553523923824
1999-09-02,2191.6228861977893
1999-09-03,2211.437321150832
