Date,UK
2001-03-06,3077.9042159556566
2001-03-07,3063.267992535182
2001-03-08,3079.797143431152
2001-03-09,3038.097991287614
2001-03-12,2987.5158070785583
2001-03-13,2918.0515585734115
2001-03-14,2874.832563233777
2001-03-15,2921.659749533903
2001-03-16,2807.3970134289048
2001-03-19,2795.956400895708
2001-03-20,2849.0952501154225
2001-03-21,2799.490366829502
2001-03-22,2665.850074882787
2001-03-23,2725.15020967668
2001-03-26,2820.1255258504207
2001-03-27,2907.574329020435
2001-03-28,2847.290647131853
2001-03-29,2842.577988793242
2001-03-30,2843.553560649327
2001-04-02,2832.2330732608157
2001-04-03,2767.38367913005
2001-04-04,2819.352655238594
2001-04-05,2850.4325780941767
2001-04-06,2865.279126562908
2001-04-09,2915.9070322483394
2001-04-10,2960.8288546436315
2001-04-11,2940.928597047835
2001-04-12,2943.6929019142217
2001-04-13,2943.6929019142217
2001-04-16,2931.328308546929
2001-04-17,2926.1210654594806
2001-04-18,2973.1545211191124
2001-04-19,2995.131268142879
2001-04-20,3006.033155162029
2001-04-23,2999.9487715500854
2001-04-24,2975.226699642095
2001-04-25,2974.760887145342
2001-04-26,2995.2445416754517
2001-04-27,3027.851155453326
2001-04-30,3021.964146441135
2001-05-01,3007.127604324737
2001-05-02,2995.573608956221
2001-05-03,2928.343702886034
2001-05-04,2989.8312317959344
2001-05-07,2995.5513068532855
2001-05-08,2988.1789221098393
2001-05-09,2972.0974549874627
2001-05-10,3017.436286573388
2001-05-11,2979.8465076305038
2001-05-14,2871.631138868648
2001-05-15,2952.9978847864622
2001-05-16,2986.525571669561
2001-05-17,2996.2193037172583
2001-05-18,2997.2316925191963
2001-05-21,3024.661962571374
2001-05-22,3025.2850144914146
2001-05-23,2979.8064105423973
2001-05-24,2957.653331630325
2001-05-25,2966.1596049624964
2001-05-28,2965.637632695406
2001-05-29,2948.9233385525417
2001-05-30,2925.8722382179685
2001-05-31,2921.435162533639
2001-06-01,2916.6980278625265
2001-06-04,2938.1313210830385
2001-06-05,2961.872506951038
2001-06-06,2920.7204235244244
2001-06-07,2930.014235707816
2001-06-08,2915.5021520615837
2001-06-11,2853.7508588838236
2001-06-12,2837.326339379302
2001-06-13,2863.339537307188
2001-06-14,2857.8374325238387
2001-06-15,2848.3744870731894
2001-06-18,2825.919108553816
2001-06-19,2828.5117252913888
2001-06-20,2822.1208646768214
2001-06-21,2834.7482062366325
2001-06-22,2843.6566137428567
2001-06-25,2844.1709929554163
2001-06-26,2795.4112336645544
2001-06-27,2817.587176857142
2001-06-28,2825.0625115062776
2001-06-29,2821.850683500903
2001-07-02,2877.938385718389
2001-07-03,2827.8422054550742
2001-07-04,2807.9503486251206
2001-07-05,2767.6851053856617
2001-07-06,2743.210832897028
2001-07-09,2746.711143423384
2001-07-10,2752.3233313101814
2001-07-11,2719.8102616932847
2001-07-12,2749.6512176626834
2001-07-13,2766.803587477653
2001-07-16,2754.326909037595
2001-07-17,2711.1326394199036
2001-07-18,2735.525843225903
2001-07-19,2756.4091878286895
2001-07-20,2751.4546400410313
2001-07-23,2741.955427246729
2001-07-24,2701.7319724826357
2001-07-25,2695.20026867068
2001-07-26,2702.4672108038076
2001-07-27,2755.7051471963796
2001-07-30,2782.6710610672253
2001-07-31,2824.6434502273964
2001-08-01,2847.325812263887
2001-08-02,2873.3502377032005
2001-08-03,2852.994848041569
2001-08-06,2820.0528432463448
2001-08-07,2826.830242692509
2001-08-08,2790.525228050641
2001-08-09,2768.144333299655
2001-08-10,2791.3988043528593
2001-08-13,2782.4804784729204
2001-08-14,2819.7401398839856
2001-08-15,2837.207099833151
2001-08-16,2807.3382458722417
2001-08-17,2783.3006315094426
2001-08-20,2793.628369415057
2001-08-21,2841.4415263262667
2001-08-22,2846.323621539902
2001-08-23,2820.7851305501276
2001-08-24,2856.1715052465784
2001-08-27,2849.2601389105994
2001-08-28,2840.988802901952
2001-08-29,2837.687530727286
2001-08-30,2790.3956809892743
2001-08-31,2797.8599971240883
2001-09-03,2784.9241544837278
2001-09-04,2806.0293605044085
2001-09-05,2786.520596809645
2001-09-06,2724.1631123144853
2001-09-07,2675.933238400154
2001-09-10,2648.7762071138222
2001-09-11,2513.055246245729
2001-09-12,2584.026243254563
2001-09-13,2628.6232778561794
2001-09-14,2527.8579768359486
2001-09-17,2597.0574973083776
2001-09-18,2563.3320138406184
2001-09-19,2511.3899535253486
2001-09-20,2425.642482806266
2001-09-21,2348.4612156617945
2001-09-24,2450.4204674726957
2001-09-25,2488.1849786094313
2001-09-26,2519.849106992143
2001-09-27,2555.978858748618
2001-09-28,2613.7896022033137
2001-10-01,2567.4014671949553
2001-10-02,2569.3953845604315
2001-10-03,2612.2942122095874
2001-10-04,2685.197002944049
2001-10-05,2706.8510860200504
2001-10-08,2694.1228692101054
2001-10-09,2670.6839613325365
2001-10-10,2711.4850368460884
2001-10-11,2706.854834559468
2001-10-12,2706.3434244078417
2001-10-15,2660.8778848433763
2001-10-16,2669.7414250959123
2001-10-17,2740.074622619572
2001-10-18,2685.7223187763243
2001-10-19,2622.5479488560713
2001-10-22,2630.2283076397002
2001-10-23,2679.1683647677
2001-10-24,2670.7573528618827
2001-10-25,2641.814167366194
2001-10-26,2702.26149985449
2001-10-29,2676.9281628460735
2001-10-30,2643.719228673512
2001-10-31,2664.2372150144743
2001-11-01,2693.7913882051694
2001-11-02,2728.956093432779
2001-11-05,2760.7303770285275
2001-11-06,2771.6315775007165
2001-11-07,2787.9722464101783
2001-11-08,2802.798985452101
2001-11-09,2789.0248043855286
2001-11-12,2734.3225383388717
2001-11-13,2775.268906175761
2001-11-14,2761.4604130214675
2001-11-15,2745.9775326389004
2001-11-16,2768.9855476289304
2001-11-19,2767.8970781845906
2001-11-20,2747.2454784779666
2001-11-21,2747.2971113443664
2001-11-22,2763.1705624094834
2001-11-23,2726.424945561372
2001-11-26,2740.4116290885095
2001-11-27,2724.7057227513437
2001-11-28,2712.3124806553756
2001-11-29,2710.9703933419223
2001-11-30,2722.313999067324
2001-12-03,2689.053062579846
2001-12-04,2717.117576926066
2001-12-05,2774.368503881265
2001-12-06,2808.714014912162
2001-12-07,2766.0016363807267
2001-12-10,2728.9375015335017
2001-12-11,2717.726054721511
2001-12-12,2716.8831757730622
2001-12-13,2692.8058825555013
2001-12-14,2694.0340477904497
2001-12-17,2743.8491607372416
2001-12-18,2752.643048302435
2001-12-19,2721.99487226339
2001-12-20,2696.4718814670873
2001-12-21,2720.621380625257
2001-12-24,2732.8497519842435
