Date,CANADA
1999-05-14,1339.6247719058877
1999-05-17,1342.4767171142976
1999-05-18,1354.7210329499653
1999-05-19,1368.64779094723
1999-05-20,1362.1271006810157
1999-05-21,1365.925552202702
1999-05-24,1369.3035272384814
1999-05-25,1333.6581929689291
1999-05-26,1318.7667322181867
1999-05-27,1302.8851333311868
1999-05-28,1322.426839503929
1999-05-31,1326.7606930105258
1999-06-01,1325.7354559111382
1999-06-02,1330.0836124492066
1999-06-03,1345.7930737113172
1999-06-04,1365.2930831085307
1999-06-07,1380.0241214313103
1999-06-08,1362.9679370837061
1999-06-09,1371.2532390867761
1999-06-10,1374.9880671807762
1999-06-11,1373.8311535993168
1999-06-14,1374.952035664657
1999-06-15,1363.6642977145484
1999-06-16,1380.4074123667738
1999-06-17,1384.1483486828529
1999-06-18,1395.239889140951
1999-06-21,1383.929921458963
1999-06-22,1371.752399731145
1999-06-23,1363.3255594981429
1999-06-24,1358.7640231792384
1999-06-25,1377.1626408685859
1999-06-28,1372.0266635652615
1999-06-29,1375.7056783628593
1999-06-30,1382.7547065250913
1999-07-01,1393.1081895768184
1999-07-02,1427.415030541007
1999-07-05,1457.5783637206014
1999-07-06,1442.7914188461207
1999-07-07,1430.0073996248798
1999-07-08,1421.3412313241179
1999-07-09,1434.491685585543
1999-07-12,1424.5693800652737
1999-07-13,1410.6163940151885
1999-07-14,1441.2648412597523
1999-07-15,1453.251306193913
1999-07-16,1445.7014154781068
1999-07-19,1431.827579862978
1999-07-20,1405.1100416353006
1999-07-21,1390.7125891736619
1999-07-22,1375.9928347420514
1999-07-23,1373.4008386793741
1999-07-26,1354.4365926313544
1999-07-27,1358.5420522539898
1999-07-28,1382.5753882421852
1999-07-29,1372.6589811195722
1999-07-30,1392.0232923999483
1999-08-02,1385.0091766902488
1999-08-03,1386.5744668825803
1999-08-04,1370.6714425906541
1999-08-05,1351.4053058262134
1999-08-06,1343.9896561131993
1999-08-09,1344.352710648798
1999-08-10,1330.4408618424475
1999-08-11,1360.6585162336617
1999-08-12,1363.7500925895527
1999-08-13,1388.8665655608509
1999-08-16,1394.7333613279677
1999-08-17,1397.6590714778215
1999-08-18,1394.5850271181268
1999-08-19,1394.1749952256987
1999-08-20,1395.8177339437814
1999-08-23,1406.3315694819973
1999-08-24,1405.0685896549319
1999-08-25,1422.9677785909262
1999-08-26,1400.3712736208035
1999-08-27,1397.427448629135
1999-08-30,1386.8752035646773
1999-08-31,1369.5920358195078
1999-09-01,1374.7053054575456
1999-09-02,1353.098250865851
