Date,GERMANY
2013-12-18,5397.357087941904
2013-12-19,5446.153844990312
2013-12-20,5482.944943891799
2013-12-23,5547.601876147803
2013-12-24,5531.61455085631
2013-12-25,5531.61455085631
2013-12-26,5541.935482373603
2013-12-27,5634.607216572003
2013-12-30,5628.629323057581
2013-12-31,5614.368797790144
2014-01-01,5614.368797790144
2014-01-02,5481.4077147926055
2014-01-03,5484.336298444355
2014-01-06,5491.5563854120555
2014-01-07,5517.515010778172
2014-01-08,5511.493573004194
2014-01-09,5464.61600253203
2014-01-10,5525.381596696241
2014-01-13,5540.735805339401
2014-01-14,5564.9233782237525
2014-01-15,5633.580473970463
2014-01-16,5631.255340638227
2014-01-17,5625.829544516252
2014-01-20,5613.245137913394
2014-01-21,5613.857883184409
2014-01-22,5615.421715616382
2014-01-23,5612.6521467962875
2014-01-24,5476.049742388266
2014-01-27,5441.624163015052
2014-01-28,5474.926164052356
2014-01-29,5421.480536874399
2014-01-30,5406.208647398952
2014-01-31,5337.17077416078
2014-02-03,5285.147598343869
2014-02-04,5254.429455098623
2014-02-05,5258.490572619509
2014-02-06,5366.993023779345
2014-02-07,5399.210495964673
2014-02-10,5407.599615216185
2014-02-11,5523.906642888048
2014-02-12,5523.925566155541
2014-02-13,5586.346728410845
2014-02-14,5632.719406531781
2014-02-17,5639.4823713547685
2014-02-18,5659.876197914202
2014-02-19,5662.360222272544
2014-02-20,5617.130633941232
2014-02-21,5652.819774624516
2014-02-24,5669.433516408069
2014-02-25,5668.494951122229
2014-02-26,5617.412049844167
2014-02-27,5582.584085677564
2014-02-28,5694.903515314491
2014-03-03,5489.200726260897
2014-03-04,5608.305038404531
2014-03-05,5581.303430378943
2014-03-06,5624.287381185837
2014-03-07,5524.180142825707
2014-03-10,5480.496416652068
2014-03-11,5496.440764262411
2014-03-12,5440.641068959069
2014-03-13,5353.579477937693
2014-03-14,5369.051627544596
2014-03-17,5444.65877503136
2014-03-18,5476.650915531675
2014-03-19,5493.022069267707
2014-03-20,5449.998813170949
2014-03-21,5473.369116177537
2014-03-24,5387.255244656628
2014-03-25,5468.961332300214
2014-03-26,5534.855555229043
2014-03-27,5517.824410895763
2014-03-28,5598.834115468039
2014-03-31,5595.632787287978
2014-04-01,5629.488752613524
2014-04-02,5629.277716038851
2014-04-03,5612.2596333010515
2014-04-04,5638.857170721177
2014-04-07,5552.2904934360195
2014-04-08,5555.881659557051
2014-04-09,5583.461300270344
2014-04-10,5572.722316524891
2014-04-11,5494.940329993947
2014-04-14,5476.309067690004
2014-04-15,5385.215461997991
2014-04-16,5465.333117590389
2014-04-17,5529.325017184264
2014-04-18,5529.325017184264
2014-04-21,5516.736116310331
2014-04-22,5622.705022427287
2014-04-23,5602.8192779094525
2014-04-24,5601.242633256944
2014-04-25,5525.246913444163
2014-04-28,5552.950465159351
2014-04-29,5618.24794008598
2014-04-30,5643.637177986733
2014-05-01,5643.637177986733
2014-05-02,5614.7566192000995
2014-05-05,5599.570603948671
2014-05-06,5583.828477887263
2014-05-07,5609.413038816611
2014-05-08,5635.019677210758
2014-05-09,5579.289588599769
2014-05-12,5647.622344591277
2014-05-13,5653.460864739191
2014-05-14,5652.582085001507
2014-05-15,5599.355412030748
2014-05-16,5574.768505534566
2014-05-19,5598.7075119767915
